File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::XMLNode( XMLDocument* doc ),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::~XMLNode(),5,5,4,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::Value() const,5,4,3,3,0,0,1,9,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLNode::SetValue( const char* str, bool staticMem )",7,7,5,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::DeepClone(XMLDocument* target) const,10,9,8,3,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::DeleteChildren(),6,6,5,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::Unlink( XMLNode* child ),20,19,15,4,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::DeleteChild( XMLNode* node ),9,9,9,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::InsertEndChild( XMLNode* addThis ),26,23,20,4,3,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::InsertFirstChild( XMLNode* addThis ),27,23,20,4,4,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLNode::InsertAfterChild( XMLNode* afterThis, XMLNode* addThis )",32,24,20,9,3,0,5,35,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLNode::FirstChildElement( const char* name ) const,8,8,6,4,0,0,0,0,
